geometry
"POLYGON ((-224034.5540325658 -13280.15028393687, -221035.4634989514 -13280.15028393687, -221035.4634989514 -16288.61735661452, -224034.5540325658 -16288.61735661452, -224034.5540325658 -13280.15028393687))"
"POLYGON ((-221035.4634989514 -13280.15028393687, -218036.372965337 -13280.15028393687, -218036.372965337 -16288.61735661452, -221035.4634989514 -16288.61735661452, -221035.4634989514 -13280.15028393687))"
"POLYGON ((-218036.372965337 -13280.15028393687, -215037.2824317227 -13280.15028393687, -215037.2824317227 -16288.61735661452, -218036.372965337 -16288.61735661452, -218036.372965337 -13280.15028393687))"
"POLYGON ((-194043.6486964221 -13280.15028393687, -191044.5581628077 -13280.15028393687, -191044.5581628077 -16288.61735661452, -194043.6486964221 -16288.61735661452, -194043.6486964221 -13280.15028393687))"
"POLYGON ((-191044.5581628077 -13280.15028393687, -188045.4676291934 -13280.15028393687, -188045.4676291934 -16288.61735661452, -191044.5581628077 -16288.61735661452, -191044.5581628077 -13280.15028393687))"
"POLYGON ((-188045.4676291934 -13280.15028393687, -185046.377095579 -13280.15028393687, -185046.377095579 -16288.61735661452, -188045.4676291934 -16288.61735661452, -188045.4676291934 -13280.15028393687))"
"POLYGON ((-185046.377095579 -13280.15028393687, -182047.2865619646 -13280.15028393687, -182047.2865619646 -16288.61735661452, -185046.377095579 -16288.61735661452, -185046.377095579 -13280.15028393687))"
"POLYGON ((-182047.2865619646 -13280.15028393687, -179048.1960283503 -13280.15028393687, -179048.1960283503 -16288.61735661452, -182047.2865619646 -16288.61735661452, -182047.2865619646 -13280.15028393687))"
"POLYGON ((-179048.1960283503 -13280.15028393687, -176049.1054947359 -13280.15028393687, -176049.1054947359 -16288.61735661452, -179048.1960283503 -16288.61735661452, -179048.1960283503 -13280.15028393687))"
"POLYGON ((-176049.1054947359 -13280.15028393687, -173050.0149611215 -13280.15028393687, -173050.0149611215 -16288.61735661452, -176049.1054947359 -16288.61735661452, -176049.1054947359 -13280.15028393687))"
"POLYGON ((-173050.0149611215 -13280.15028393687, -170050.9244275072 -13280.15028393687, -170050.9244275072 -16288.61735661452, -173050.0149611215 -16288.61735661452, -173050.0149611215 -13280.15028393687))"
"POLYGON ((-170050.9244275072 -13280.15028393687, -167051.8338938928 -13280.15028393687, -167051.8338938928 -16288.61735661452, -170050.9244275072 -16288.61735661452, -170050.9244275072 -13280.15028393687))"
"POLYGON ((-167051.8338938928 -13280.15028393687, -164052.7433602784 -13280.15028393687, -164052.7433602784 -16288.61735661452, -167051.8338938928 -16288.61735661452, -167051.8338938928 -13280.15028393687))"
"POLYGON ((-164052.7433602784 -13280.15028393687, -161053.6528266641 -13280.15028393687, -161053.6528266641 -16288.61735661452, -164052.7433602784 -16288.61735661452, -164052.7433602784 -13280.15028393687))"
"POLYGON ((-161053.6528266641 -13280.15028393687, -158054.5622930497 -13280.15028393687, -158054.5622930497 -16288.61735661452, -161053.6528266641 -16288.61735661452, -161053.6528266641 -13280.15028393687))"
"POLYGON ((-158054.5622930497 -13280.15028393687, -155055.4717594353 -13280.15028393687, -155055.4717594353 -16288.61735661452, -158054.5622930497 -16288.61735661452, -158054.5622930497 -13280.15028393687))"
"POLYGON ((-155055.4717594353 -13280.15028393687, -152056.381225821 -13280.15028393687, -152056.381225821 -16288.61735661452, -155055.4717594353 -16288.61735661452, -155055.4717594353 -13280.15028393687))"
"POLYGON ((-152056.381225821 -13280.15028393687, -149057.2906922066 -13280.15028393687, -149057.2906922066 -16288.61735661452, -152056.381225821 -16288.61735661452, -152056.381225821 -13280.15028393687))"
